Transaction_ID,Date,User_ID,Amount,Status,Payment_Method,Service,City,Failure_Reason
TXN1000,2024-09-22,U764,2944,Failed,UPI,Insurance,Hyderabad,Server Error
TXN1001,2024-07-26,U197,5847,Failed,UPI,Bills,Pune,Wrong PIN
TXN1002,2024-07-10,U366,3825,Failed,Card,Money Transfer,Bangalore,Insufficient Balance
TXN1003,2024-04-18,U536,8624,Success,UPI,Recharge,Delhi,
TXN1004,2024-03-28,U243,5731,Success,UPI,Insurance,Hyderabad,
TXN1005,2024-02-27,U294,9624,Success,UPI,Recharge,Hyderabad,
TXN1006,2024-08-23,U873,1392,Failed,Card,Money Transfer,Pune,Insufficient Balance
TXN1007,2024-09-07,U108,3107,Failed,Wallet,Money Transfer,Mumbai,Server Error
TXN1008,2024-11-14,U548,575,Failed,UPI,Loans,Bangalore,Bank Declined
TXN1009,2024-02-17,U160,5607,Success,Card,Money Transfer,Delhi,
TXN1010,2024-04-28,U606,8277,Success,Wallet,Insurance,Hyderabad,
TXN1011,2024-08-03,U351,1900,Success,UPI,Insurance,Bangalore,
TXN1012,2024-09-29,U729,2622,Success,UPI,Loans,Bangalore,
TXN1013,2024-02-29,U967,5225,Success,Wallet,Money Transfer,Bangalore,
TXN1014,2024-09-19,U311,6552,Failed,UPI,Money Transfer,Delhi,Insufficient Balance
TXN1015,2024-01-25,U992,5709,Failed,Wallet,Insurance,Bangalore,Server Error
TXN1016,2024-01-03,U768,5140,Failed,Wallet,Loans,Delhi,Bank Declined
TXN1017,2024-02-10,U253,3393,Failed,Wallet,Money Transfer,Mumbai,Wrong PIN
TXN1018,2024-03-20,U974,4134,Success,Card,Money Transfer,Pune,
TXN1019,2024-09-04,U933,3766,Failed,Wallet,Money Transfer,Bangalore,Wrong Info
TXN1020,2024-09-22,U937,8126,Success,Wallet,Loans,Pune,
TXN1021,2024-09-16,U840,4947,Success,UPI,Insurance,Delhi,
TXN1022,2024-03-15,U457,2333,Success,UPI,Money Transfer,Delhi,
TXN1023,2024-01-13,U151,6322,Failed,UPI,Insurance,Hyderabad,Server Error
TXN1024,2024-11-29,U901,7948,Failed,UPI,Loans,Bangalore,Wrong Info
TXN1025,2024-07-20,U259,9582,Success,Card,Loans,Mumbai,
TXN1026,2024-07-28,U134,3087,Failed,Card,Recharge,Bangalore,Insufficient Balance
TXN1027,2024-06-28,U786,3133,Failed,Wallet,Insurance,Delhi,Wrong Info
TXN1028,2024-03-20,U768,1812,Failed,UPI,Money Transfer,Hyderabad,Bank Declined
TXN1029,2024-06-26,U210,4081,Success,UPI,Bills,Bangalore,
TXN1030,2024-05-12,U608,8207,Failed,Wallet,Recharge,Pune,Wrong PIN
TXN1031,2024-02-24,U228,9954,Success,Wallet,Loans,Delhi,
TXN1032,2024-09-27,U331,3186,Failed,UPI,Money Transfer,Bangalore,Wrong PIN
TXN1033,2024-05-20,U828,4205,Success,UPI,Bills,Hyderabad,
TXN1034,2024-03-13,U419,6084,Failed,UPI,Insurance,Hyderabad,Insufficient Balance
TXN1035,2024-04-26,U268,9504,Success,UPI,Bills,Hyderabad,
TXN1036,2024-06-10,U810,8108,Success,UPI,Loans,Mumbai,
TXN1037,2024-05-04,U569,4805,Success,Card,Money Transfer,Delhi,
TXN1038,2024-05-11,U813,7339,Failed,Card,Recharge,Mumbai,Bank Declined
TXN1039,2024-08-17,U196,1752,Success,Card,Recharge,Delhi,
TXN1040,2024-05-10,U319,6225,Failed,UPI,Recharge,Mumbai,Bank Declined
TXN1041,2024-07-15,U286,8654,Failed,Card,Bills,Mumbai,Wrong PIN
TXN1042,2024-11-10,U988,1711,Failed,Wallet,Bills,Mumbai,Wrong Info
TXN1043,2024-02-13,U157,5214,Failed,Wallet,Money Transfer,Pune,Server Error
TXN1044,2024-11-19,U223,1316,Failed,Wallet,Bills,Pune,Bank Declined
TXN1045,2024-03-16,U118,5132,Failed,UPI,Recharge,Delhi,Wrong PIN
TXN1046,2024-01-22,U784,5828,Success,Card,Bills,Delhi,
TXN1047,2024-07-02,U169,5062,Failed,UPI,Bills,Mumbai,Insufficient Balance
TXN1048,2024-10-17,U855,9960,Failed,Card,Insurance,Hyderabad,Insufficient Balance
TXN1049,2024-11-25,U182,708,Success,Wallet,Money Transfer,Delhi,
TXN1050,2024-05-15,U281,6363,Failed,UPI,Loans,Bangalore,Bank Declined
TXN1051,2024-01-26,U598,7951,Success,Card,Bills,Delhi,
TXN1052,2024-04-24,U604,562,Success,Card,Loans,Delhi,
TXN1053,2024-03-18,U667,786,Success,Wallet,Loans,Bangalore,
TXN1054,2024-01-31,U724,6911,Failed,Card,Loans,Bangalore,Wrong PIN
TXN1055,2024-04-07,U260,2149,Failed,Card,Loans,Hyderabad,Wrong Info
TXN1056,2024-07-02,U900,7805,Failed,Card,Bills,Delhi,Wrong Info
TXN1057,2024-11-17,U329,6706,Success,UPI,Loans,Pune,
TXN1058,2024-05-09,U624,4693,Failed,Wallet,Insurance,Mumbai,Server Error
TXN1059,2024-02-12,U697,1770,Failed,UPI,Recharge,Pune,Insufficient Balance
TXN1060,2024-04-15,U305,120,Failed,UPI,Loans,Hyderabad,Bank Declined
TXN1061,2024-05-21,U747,7737,Failed,Card,Recharge,Delhi,Bank Declined
TXN1062,2024-08-20,U565,5360,Failed,Card,Loans,Pune,Insufficient Balance
TXN1063,2024-09-17,U955,9841,Success,Wallet,Bills,Bangalore,
TXN1064,2024-07-05,U567,7872,Success,Wallet,Bills,Hyderabad,
TXN1065,2024-07-28,U478,8853,Success,UPI,Recharge,Bangalore,
TXN1066,2024-06-26,U670,7353,Failed,Wallet,Insurance,Hyderabad,Wrong Info
TXN1067,2024-03-02,U694,5215,Failed,Card,Bills,Bangalore,Server Error
TXN1068,2024-06-30,U586,5216,Failed,UPI,Bills,Hyderabad,Bank Declined
TXN1069,2024-08-26,U269,8287,Success,Card,Insurance,Delhi,
TXN1070,2024-10-23,U253,827,Success,UPI,Money Transfer,Hyderabad,
TXN1071,2024-03-22,U234,4837,Failed,Card,Money Transfer,Delhi,Bank Declined
TXN1072,2024-02-14,U383,6822,Success,Card,Money Transfer,Mumbai,
TXN1073,2024-05-19,U319,554,Failed,UPI,Insurance,Bangalore,Server Error
TXN1074,2024-07-22,U818,3177,Success,UPI,Loans,Delhi,
TXN1075,2024-02-12,U937,5236,Failed,UPI,Recharge,Pune,Wrong Info
TXN1076,2024-06-06,U951,8767,Failed,Wallet,Loans,Bangalore,Bank Declined
TXN1077,2024-06-15,U622,3414,Failed,UPI,Bills,Bangalore,Server Error
TXN1078,2024-04-22,U923,9960,Success,Wallet,Insurance,Hyderabad,
TXN1079,2024-03-19,U702,5877,Success,Card,Money Transfer,Hyderabad,
TXN1080,2024-09-26,U537,9871,Failed,UPI,Insurance,Delhi,Insufficient Balance
TXN1081,2024-11-21,U149,2947,Success,UPI,Recharge,Delhi,
TXN1082,2024-11-03,U612,8502,Success,UPI,Bills,Mumbai,
TXN1083,2024-10-27,U784,3905,Success,Card,Recharge,Pune,
TXN1084,2024-02-16,U541,4792,Failed,UPI,Recharge,Delhi,Wrong Info
TXN1085,2024-01-05,U606,4787,Success,Card,Bills,Delhi,
TXN1086,2024-08-05,U680,4154,Failed,Card,Loans,Pune,Wrong PIN
TXN1087,2024-04-23,U883,4701,Success,UPI,Bills,Pune,
TXN1088,2024-01-15,U928,4136,Failed,UPI,Loans,Delhi,Insufficient Balance
TXN1089,2024-12-04,U160,5248,Success,UPI,Recharge,Mumbai,
TXN1090,2024-02-24,U868,5348,Success,Wallet,Recharge,Pune,
TXN1091,2024-11-30,U133,1172,Failed,Wallet,Insurance,Bangalore,Wrong PIN
TXN1092,2024-03-05,U364,4632,Failed,UPI,Insurance,Mumbai,Bank Declined
TXN1093,2024-01-19,U554,4895,Failed,Wallet,Bills,Bangalore,Bank Declined
TXN1094,2024-04-09,U878,4105,Failed,Wallet,Money Transfer,Delhi,Insufficient Balance
TXN1095,2024-09-30,U556,4251,Failed,Card,Money Transfer,Mumbai,Wrong Info
TXN1096,2024-09-06,U841,8734,Success,Card,Insurance,Delhi,
TXN1097,2024-01-18,U561,6387,Success,Card,Money Transfer,Hyderabad,
TXN1098,2024-12-01,U428,9928,Success,UPI,Recharge,Pune,
TXN1099,2024-02-28,U374,5224,Failed,UPI,Recharge,Bangalore,Wrong Info
TXN1100,2024-03-29,U571,5901,Success,UPI,Bills,Hyderabad,
TXN1101,2024-08-10,U196,8414,Failed,Card,Money Transfer,Delhi,Insufficient Balance
TXN1102,2024-05-24,U803,9628,Failed,Wallet,Insurance,Mumbai,Insufficient Balance
TXN1103,2024-08-27,U308,2512,Success,UPI,Recharge,Pune,
TXN1104,2024-04-20,U175,5992,Failed,UPI,Recharge,Pune,Bank Declined
TXN1105,2024-11-15,U705,5314,Failed,Card,Recharge,Mumbai,Insufficient Balance
